t,Ia
0.00,0.00000000e+000
30.00,4.46238243e-006
60.00,1.04994999e-005
90.00,1.83816013e-005
120.00,2.83357946e-005
150.00,4.04939319e-005
180.00,5.34340977e-005
210.00,6.75582539e-005
240.00,8.22867166e-005
270.00,9.68397379e-005
300.00,1.10325552e-004
330.00,9.94554761e-005
360.00,8.38013162e-005
390.00,6.50376629e-005
420.00,4.56780303e-005
450.00,2.84211647e-005
480.00,0.00000000e+000
510.00,0.00000000e+000
540.00,0.00000000e+000
570.00,0.00000000e+000
600.00,0.00000000e+000
